temperature,pressure,humidity,pm25,pm10,aqi,aqi_label,wind_speed,wind_heading,rain_rate,fire_safety_rating
22.47,99174.71,32.65,0.00,301,0.00,0
22.47,99159.36,32.62,0.00,299,0.00,0,0.00,0.00
22.19,98824.42,35.76,0.00,184,0.00,0,0.00,0.00
22.21,98814.83,35.23,0.00,187,0.00,0,0.00,0.00
22.27,98815.55,34.86,0.00,184,0.00,0,0.00,0.00
22.36,98829.85,34.64,0.00,172,0.00,0,0.00,0.00
22.42,98827.12,34.73,0.00,169,0.00,0,0.00,0.00
22.41,98823.35,34.70,0.00,169,0.00,0,0.00,0.00
22.49,98822.52,34.46,0.00,168,0.00,0,0.00,0.00
22.83,98803.11,33.46,0.00,170,0.00,0,0.00,0.00
22.84,98806.08,33.46,0.00,169,0.00,0,0.00,0.00
22.90,98804.39,33.46,0.00,169,0.00,0,0.00,0.00
22.83,98794.14,33.38,0.00,169,0.00,0,0.00,0.00
22.83,98798.62,33.35,0.00,171,0.00,0,0.00,0.00
22.85,98791.46,33.24,0.00,170,0.00,0,0.00,0.00
22.86,98792.85,33.25,0.00,169,0.00,0,0.00,0.00
22.91,98794.19,33.23,0.00,171,0.00,0,0.00,0.00
22.91,98776.27,33.21,0.00,161,0.00,0,0.00,0.00
22.94,98745.84,33.46,0.00,178,0.00,0,0.00,0.00
22.91,98745.99,33.38,0.00,178,0.00,0,0.00,0.00
22.93,98740.05,33.36,0.00,179,0.00,0,0.00,0.00
22.96,98742.41,33.37,0.00,179,0.00,0,0.00,0.00
22.65,98685.50,33.42,0.00,179,0.00,0,0.00,0.00
22.66,98683.08,33.43,0.00,178,0.00,0,0.00,0.00
22.65,98690.17,33.44,0.00,179,0.00,0,0.00,0.00
22.69,98675.03,33.39,0.00,178,0.00,0,0.00,0.00
22.64,98656.60,33.39,0.00,177,0.00,0,0.00,0.00
22.65,98655.33,33.34,0.00,179,0.00,0,0.00,0.00
22.57,98646.01,33.49,0.00,188,0.00,0,0.00,0.00
22.58,98645.69,33.46,0.00,188,0.00,0,0.00,0.00
22.67,98624.54,33.59,0.00,188,0.00,0,0.00,0.00
22.68,98621.71,33.61,0.00,188,0.00,0,0.00,0.00
22.68,98620.30,34.04,0.00,188,0.00,0,0.00,0.00
